3.000000000000000000e+03 2.682238993602287991e+01
3.000099999999999909e+03 2.682225897307163365e+01
3.000199999999999818e+03 2.682212787618941974e+01
3.000299999999999727e+03 2.682199664539692563e+01
3.000399999999999636e+03 2.682186528071487785e+01
3.000499999999999545e+03 2.682173378216409532e+01
3.000599999999999454e+03 2.682160214976529389e+01
3.000699999999999363e+03 2.682147038353917878e+01
3.000799999999999272e+03 2.682133848350654404e+01
3.000899999999999181e+03 2.682120644968813394e+01
3.000999999999999091e+03 2.682107428210467859e+01
3.001099999999999000e+03 2.682094198077693648e+01
3.001199999999998909e+03 2.682080954572562348e+01
3.001299999999998818e+03 2.682067697697144837e+01
3.001399999999998727e+03 2.682054427453524426e+01
3.001499999999998636e+03 2.682041143843766307e+01
3.001599999999998545e+03 2.682027846869945620e+01
3.001699999999998454e+03 2.682014536534138216e+01
3.001799999999998363e+03 2.682001212838416038e+01
3.001899999999998272e+03 2.681987875784851028e+01
3.001999999999998181e+03 2.681974525375520102e+01
3.002099999999998090e+03 2.681961161612489519e+01
3.002199999999997999e+03 2.681947784497842235e+01
3.002299999999997908e+03 2.681934394033640601e+01
3.002399999999997817e+03 2.681920990221962242e+01
3.002499999999997726e+03 2.681907573064880523e+01
3.002599999999997635e+03 2.681894142564460637e+01
3.002699999999997544e+03 2.681880698722786605e+01
3.002799999999997453e+03 2.681867241541917224e+01
3.002899999999997362e+03 2.681853771023939714e+01
3.002999999999997272e+03 2.681840287170909320e+01
3.003099999999997181e+03 2.681826789984908288e+01
3.003199999999997090e+03 2.681813279468009981e+01
3.003299999999996999e+03 2.681799755622277104e+01
3.003399999999996908e+03 2.681786218449783021e+01
3.003499999999996817e+03 2.681772667952606426e+01
3.003599999999996726e+03 2.681759104132810023e+01
3.003699999999996635e+03 2.681745526992468598e+01
3.003799999999996544e+03 2.681731936533658001e+01
3.003899999999996453e+03 2.681718332758437029e+01
3.003999999999996362e+03 2.681704715668885086e+01
3.004099999999996271e+03 2.681691085267066299e+01
3.004199999999996180e+03 2.681677441555061137e+01
3.004299999999996089e+03 2.681663784534931949e+01
3.004399999999995998e+03 2.681650114208746771e+01
3.004499999999995907e+03 2.681636430578582875e+01
3.004599999999995816e+03 2.681622733646503320e+01
3.004699999999995725e+03 2.681609023414582182e+01
3.004799999999995634e+03 2.681595299884889272e+01
3.004899999999995543e+03 2.681581563059494044e+01
3.004999999999995453e+03 2.681567812940461337e+01
3.005099999999995362e+03 2.681554049529866290e+01
3.005199999999995271e+03 2.681540272829772320e+01
