#wave trans
.900000   0.997119
.900020   0.997048
.900040   0.997117
.900060   0.996095
.900080   0.994900
.900100   0.993480
.900120   0.987524
.900140   0.983228
.900160   0.985698
.900180   0.983630
.900200   0.971866
.900220   0.932053
.900240   0.801085
.900260   0.537481
.900280   0.416394
.900300   0.571986
.900320   0.686996
.900340   0.831952
.900360   0.941738
.900380   0.975145
.900400   0.985840
.900420   0.989955
.900440   0.991583
.900460   0.992050
.900480   0.991877
.900500   0.990996
.900520   0.988672
.900540   0.982541
.900560   0.957709
.900580   0.848000
.900600   0.627374
.900620   0.513615
.900640   0.581058
.900660   0.790544
.900680   0.938532
.900700   0.979391
.900720   0.988763
.900740   0.992080
.900760   0.993679
.900780   0.993579
.900800   0.987485
.900820   0.980368
.900840   0.986529
.900860   0.992510
.900880   0.988946
.900900   0.961615
.900920   0.896977
.900940   0.842217
.900960   0.812655
.900980   0.780065
.901000   0.712006
.901020   0.775957
.901040   0.882479
.901060   0.959109
.901080   0.987826
.901100   0.990189
.901120   0.969169
.901140   0.909902
.901160   0.902387
.901180   0.962944
.901200   0.991297
.901220   0.995740
.901240   0.995381
.901260   0.992558
.901280   0.991798
.901300   0.993696
.901320   0.992683
.901340   0.988586
.901360   0.981941
.901380   0.954236
.901400   0.828666
.901420   0.570432
.901440   0.514253
.901460   0.762744
.901480   0.933825
.901500   0.978094
.901520   0.987750
.901540   0.989905
.901560   0.988710
.901580   0.979602
.901600   0.971188
.901620   0.982260
.901640   0.990373
.901660   0.991373
.901680   0.993735
.901700   0.994904
.901720   0.994548
.901740   0.993626
.901760   0.992099
.901780   0.989570
.901800   0.984934
.901820   0.976053
.901840   0.954677
.901860   0.898707
.901880   0.736567
.901900   0.424809
.901920   0.255550
.901940   0.452390
.901960   0.763372
0.901980   0.915044
0.902000   0.960385
0.902020   0.967282
0.902040   0.941659
0.902060   0.923385
0.902080   0.956473
0.902100   0.984373
0.902120   0.992554
0.902140   0.994585
0.902160   0.995478
0.902180   0.996048
0.902200   0.996316
0.902220   0.995756
0.902240   0.992279
0.902260   0.985237
0.902280   0.986186
0.902300   0.992774
0.902320   0.994511
0.902340   0.992448
0.902360   0.990574
0.902380   0.991215
0.902400   0.989266
0.902420   0.981470
0.902440   0.969174
0.902460   0.938708
0.902480   0.809702
0.902500   0.554086
0.902520   0.530363
0.902540   0.782559
0.902560   0.933177
0.902580   0.972993
0.902600   0.983991
0.902620   0.988403
0.902640   0.990421
0.902660   0.990588
